id,店名,ビル,階,区画,判定,業種,営業時間,定休日,予算,タグ,電話,公式サイト,別名,出典,確認日,メモ
b2-B1-d9df78,呑み処 りんご屋 パート2,2,B1,48-1-2,見送り,,,,,,,,,,2026-09-23,パート1の情報しか出てこない
b2-B1-8ff99d,555 BOUTIQUE スリーファイブ,2,B1,48-2,見送り,,,,,,,,,,2026-09-23,検索で見つからず
b2-B1-1acb11,居酒屋 味善,2,B1,48-3-1,採用,,17:30-23:00,日|祝,2000-3000,予約可,,,旨いもん居酒屋 味善|味善,https://www.hotpepper.jp/strJ003340997/,2026-09-23,月〜土
b2-B1-98f401,餃子のかっちゃん,2,B1,50,一部,,,,,深夜営業,,https://gyozanokacchanosakadainibiru.owst.jp/,餃子のかっちゃん 大阪駅前第2ビル店|食べ放題 居酒屋 餃子のかっちゃん,https://www.hotpepper.jp/strJ003784817/,2026-09-23,「深夜まで営業」とあるが時刻は不明。ランチは予約時のみ。定休日なし。餃子200円〜・ドリンク190円〜
b2-B1-c99360,立食焼肉 一穂 第2ビル店,2,B1,51-1,採用,,15:00-23:30,,2000-3000,立ち飲み|予約可,,https://kee8001.gorp.jp/,立食焼肉 一穂 第二ビル店,https://hitosara.com/0004045282/,2026-09-23,平日の時間。土・祝11:30-23:30、日11:30-22:30。不定休。立ち食いで1枚から注文できる焼肉
b2-B1-9decef,大衆呑処 サカグラ,2,B1,51-2,採用,,15:00-23:00,,2000-3000,,06-6344-4411,https://ked4000.gorp.jp/,大衆呑処 サカグラ 大阪駅前第2ビル,https://r.gnavi.co.jp/6m7m9w0x0000/,2026-09-23,平日の時間。土日祝12:00-23:00。休みは年末年始など。日本酒直売所。毎日18時までハッピーアワー
b2-B1-c6ed92,鉄板串酒場 しん家,2,B1,52,採用,,16:30-23:00,,,喫煙可,06-6341-9489,https://shinya-inc.com/shop3/,鉄板串酒場しん家|しん家,https://www.hotpepper.jp/strJ003941172/,2026-09-23,"平日の時間。土日祝15:30-23:00。定休日の記載なし。串100円〜・飲み放題コース3,000円〜"
b2-B1-097e06,梅田大衆酒場 H,2,B1,53,採用,,"11:30-15:00,16:30-23:00",,ランチ~1000/ディナー2000-3000,禁煙|カード可,,,梅田大衆酒場 H 駅前第２ビル店|梅田大衆酒場H,https://hitosara.com/0031339217/,2026-09-23,平日の時間。土日祝14:00-23:00。不定休。全席禁煙
b2-B1-61e9c5,大衆酒肴スタンド さかば。,2,B1,54,採用,,14:00-23:00,,,,06-4797-5855,https://joujou.co.jp/shop/standsakaba/,大衆酒肴 スタンドさかば。|スタンドさかば。,https://r.gnavi.co.jp/f683snwp0000/,2026-09-23,平日の時間。土日祝12:00-23:00。不定休。飲むほど安くなる「どん安」（1杯目290円→3杯目以降100円）。第3ビルにも店あり
b2-B1-2c1334,大分からあげと鉄板焼き 勝男 B1応援団,2,B1,56,採用,,16:00-23:00,,2000-3000,,,https://katsuo-web.com/shop_list/1137,大分からあげと鉄板焼 第2ビルB1応援団 勝男,https://www.hotpepper.jp/strJ003560478/,2026-09-23,月〜木の時間。金〜日・祝・祝前日13:00-23:00。不定休
b2-B1-6b7486,肴屋 あしか,2,B1,57,採用,,11:00-24:00,,ランチ~1000/ディナー2000-3000,喫煙可,,https://ashica.jp/,肴屋あしか,https://www.hotpepper.jp/strJ001006281/,2026-09-23,無休。全面喫煙可。海鮮が中心
b3-B1-48bb0c,酒場 おか長,3,B1,41,採用,,11:00-22:30,,,,,https://kaj7607.gorp.jp/,酒場 おか長 大阪駅前第3ビル B1店,https://kaj7607.gorp.jp/,2026-09-23,B1店の情報（B2-6にもおか長あり＝海鮮酒場 おか長 B2店）。月〜土の時間。日祝11:00-22:00。定休日なし。串揚げ・海鮮
b4-B2-1b022b,四川のくち,4,B2,1,採用,,12:00-23:00,,ディナー~2000,,06-6459-7069,,四川のくち スタンド酒場,https://map.yahoo.co.jp/v3/place/HirbuUXbjaU,2026-09-23,第4ビルB2。不定休。44席（カウンター6・テーブル38）。4種の麻婆豆腐。2026-08-20開店の「スタンド酒場」と同じ店か要確認
